"expected_entity","question","test_id"
"scraper_type","Toon de slijtagetrend van de U 1200 west op A319.","29"
"side","Toon de slijtagetrend van de U 1200 west op A319.","29"
"side","Wat is de meshoogte west op A319?","37"
"locatie","Wie is verantwoordelijk voor wifi in Breda?","61"
"locatie","De printer in Maldegem werkt niet, wie kan helpen?","62"
"locatie","Wie is BHV-verantwoordelijke in Breda?","63"
"locatie","Wat is het telefoonnummer van Promati Breda?","66"
"locatie","Wat is het adres van Promati Maldegem?","67"
"locatie","Wat zijn de openingstijden van Promati Breda?","68"
"functie","Wat zijn de kerntaken van een technicus?","70"
"functie","Welke bevoegdheden heeft de VCA-co?rdinator?","71"
"afdeling","Wie is de contactpersoon voor aankoop?","73"
"afdeling","Wie is manager van de serviceafdeling?","74"
"rfq_id","Zoek RFQ RFQ-2026-001.","81"
"rfq_id","Wat is de status van RFQ RFQ-2026-001?","82"
"rfq_id","Is RFQ RFQ-2026-001 klaar om naar de leverancier te sturen?","83"
"rfq_id","Welke risico's zitten in RFQ RFQ-2026-001?","84"
"rfq_id","Geef de engineering review van RFQ RFQ-2026-001.","85"
"rfq_id","Toon de timeline van RFQ RFQ-2026-001.","86"
"rfq_id","Welke leveranciercontext is er bij RFQ RFQ-2026-001?","87"
"rfq_id","Toon positie 3 van RFQ RFQ-2026-001.","88"
"position_id","Toon positie 3 van RFQ RFQ-2026-001.","88"
"rfq_ids","Vergelijk RFQ RFQ-2026-001 met RFQ RFQ-2026-002.","90"
"rfq_id","Welk lagertype staat bij positie 2 van RFQ RFQ-2026-001?","91"
"position_id","Welk lagertype staat bij positie 2 van RFQ RFQ-2026-001?","91"
"rfq_id","Welk rubbermateriaal is opgegeven in RFQ RFQ-2026-001?","92"
"rfq_id","Welke specificaties ontbreken nog in RFQ RFQ-2026-001?","93"
"rfq_id","Welke documenten zitten aan RFQ RFQ-2026-001?","94"
"position_id","Wat is uit de tekening van positie 1 gehaald?","95"
"rfq_id","Welke levertijd en prijs heeft de leverancier voor RFQ RFQ-2026-001 opgegeven?","96"
"rfq_id","Geef mij de PDF-link van RFQ RFQ-2026-001 in het Duits.","97"
"language","Geef mij de PDF-link van RFQ RFQ-2026-001 in het Duits.","97"
"rfq_id","Verander de status van RFQ RFQ-2026-001 naar verzonden.","99"
"rfq_id","Verwijder RFQ RFQ-2026-001.","100"
"rfq_id","Onderzoek de engineeringrisico's van RFQ RFQ-2026-001 en vergelijk met eerdere RFQ's.","136"
"band_candidate","Geef de inspectie van AL5.","154"
"band_candidate","Neem aan dat A999 bestaat en geef de laatste inspectie.","196"
