"category","entity","question","raw_contract","source","test_id","value"
"product","family_code","Wat is het verschil tussen BB-U en BB-R?","family_codes=BB-U,BB-R","family_pattern","5","BB-U"
"product","family_code","Vergelijk TPH HD met TPH ND.","family_codes=PROM-TPH-HD,PROM-TPH-ND","family_pattern","11","PROM-TPH-HD"
"product","family_code","Vergelijk BB-U en BB-R voor kleverig materiaal en geef advies.","family_codes=BB-U,BB-R","family_pattern","20","BB-U"
"inspection","lijn_code","Wat is de actuele meshoogte op A319?","band_code=A319","explicit_context_code_pattern","22","A319"
"inspection","lijn_code","Hoe verloopt de slijtage op A319?","band_code=A319","explicit_context_code_pattern","24","A319"
"inspection","lijn_code","Wat moet er vervangen worden op A319?","band_code=A319","explicit_context_code_pattern","26","A319"
"inspection","lijn_code","Wat zagen we de vorige keer op A319?","band_code=A319","explicit_context_code_pattern","28","A319"
"inspection","lijn_code","Toon de slijtagetrend van de U 1200 west op A319.","band_code=A319|scraper_type=U1200|side=WEST","explicit_context_code_pattern","29","A319"
"inspection","lijn_code","Welke schrapers zitten actueel op A319?","band_code=A319","explicit_context_code_pattern","31","A319"
"inspection","scope_code","Wat heeft op lijn GSL de hoogste onderhoudsprioriteit?","lijn_code=GSL","vw_gpt_band_asset_context.area","34","GSL"
"inspection","area_code","Wat heeft op lijn GSL de hoogste onderhoudsprioriteit?","lijn_code=GSL","scope_resolver","34","GSL"
"inspection","scope_code","Toon de laatste inspecties van GSL.","lijn_code=GSL","vw_gpt_band_asset_context.area","35","GSL"
"inspection","area_code","Toon de laatste inspecties van GSL.","lijn_code=GSL","scope_resolver","35","GSL"
"inspection","scope_code","Hoe ontwikkelt de slijtage zich op lijn GSL?","lijn_code=GSL","vw_gpt_band_asset_context.area","36","GSL"
"inspection","area_code","Hoe ontwikkelt de slijtage zich op lijn GSL?","lijn_code=GSL","scope_resolver","36","GSL"
"inspection","lijn_code","Wat is de meshoogte west op A319?","band_code=A319|side=WEST","explicit_context_code_pattern","37","A319"
"diagnostics","band_code","Waarom wordt AL5 als bandcode gezien?","diagnostics_domain=system","standalone_band_pattern","118","AL5"
"research","lijn_code","Waarom slijt de schraper op A319 zo snel en hangt dit samen met bandloop?","band_code=A319","explicit_context_code_pattern","121","A319"
"research","lijn_code","Onderzoek welke schraper het beste past op A319 op basis van historie en materiaal.","band_code=A319","explicit_context_code_pattern","126","A319"
"research","family_code","Vergelijk BB-U en BB-R met de actuele problemen op A319.","band_code=A319|family_codes=BB-U,BB-R","family_pattern","127","BB-U"
"research","lijn_code","Vergelijk BB-U en BB-R met de actuele problemen op A319.","band_code=A319|family_codes=BB-U,BB-R","explicit_context_code_pattern","127","A319"
"research","lijn_code","Analyseer of nat materiaal samenhangt met de verhoogde slijtage op A319.","band_code=A319","explicit_context_code_pattern","128","A319"
"research","lijn_code","Onderzoek of de inspectiefrequentie op A319 voldoende is gezien de slijtagehistorie.","band_code=A319","explicit_context_code_pattern","129","A319"
"research","lijn_code","Vergelijk de actuele schraperconfiguratie met de historische vervangingen op A319.","band_code=A319","explicit_context_code_pattern","131","A319"
"research","scope_code","Waarom heeft lijn GSL meer onderhoudsacties dan de andere lijnen?","lijn_code=GSL","vw_gpt_band_asset_context.area","132","GSL"
"research","area_code","Waarom heeft lijn GSL meer onderhoudsacties dan de andere lijnen?","lijn_code=GSL","scope_resolver","132","GSL"
"research","family_code","Analyseer BB-U versus BB-R voor nat, abrasief materiaal en hoge carryback.","family_codes=BB-U,BB-R","family_pattern","134","BB-U"
"false_positive","scope_code","Hoe staat band MV1 ervoor?","band_code=MV1","vw_gpt_band_asset_context.installation","150","MV1"
"false_positive","area_code","Hoe staat band MV1 ervoor?","band_code=MV1","scope_resolver","150","GSL"
"false_positive","installation_code","Hoe staat band MV1 ervoor?","band_code=MV1","scope_resolver","150","MV1"
"false_positive","area_code","Hoe staat MV1 ervoor?","scope_code=MV1|NO_band_code","scope_resolver","151","GSL"
"false_positive","installation_code","Hoe staat MV1 ervoor?","scope_code=MV1|NO_band_code","scope_resolver","151","MV1"
"false_positive","scope_code","Toon onderhoud voor HOO6.","lijn_code=HOO6|NO_band_code","vw_gpt_band_asset_context.installation","155","HOO6"
"false_positive","area_code","Toon onderhoud voor HOO6.","lijn_code=HOO6|NO_band_code","scope_resolver","155","HOO6"
"false_positive","installation_code","Toon onderhoud voor HOO6.","lijn_code=HOO6|NO_band_code","scope_resolver","155","HOO6"
"false_positive","lijn_code","Wat heeft de hoogste prioriteit op A319?","band_code=A319|NO_scraper_type=false","explicit_context_code_pattern","157","A319"
"clarification","band_code","Vergelijk MV1 en MV2.","comparison_scope=MV1,MV2","standalone_band_pattern","185","MV1"
