"test_id","query_class","primary_domain","domains","intent","clarification_required","research_required","execution_step_count","execution_actions","entities_json","question"
"1","business","product","product","inventory_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""BB-U"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1200,""source"":""bb_u_compact_width_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hebben we BB-U 1200 op voorraad?"
"2","business","product","product","price_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""BB-U"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1200,""source"":""bb_u_compact_width_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat kost een BB-U 1200?"
"3","business","product","product","advantages_disadvantages","False","False","1","product_assistant","{""family_code"":{""value"":""BB-U"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zijn de voordelen van BB-U?"
"4","business","product","product","advantages_disadvantages","False","False","1","product_assistant","{""family_code"":{""value"":""BB-H"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zijn de nadelen van BB-H?"
"5","business","product","product","product_selection","False","False","1","product_assistant","{""family_code"":{""value"":""BB-U"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is het verschil tussen BB-U en BB-R?"
"6","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke schraper zou je kiezen voor een band van 1200 mm?"
"7","business","product","product","inventory_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""PROM-KF"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Is Promati KF op voorraad?"
"8","business","product","product","price_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""PROM-KS"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat kost een Promati KS?"
"9","business","product","product","product_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""PROLOAD"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat weet je over Proload?"
"10","business","product","product","product_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""PROM-TPH-HD"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1400,""source"":""explicit_width_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke TPH HD hebben we voor 1400 mm?"
"11","business","product","product","product_selection","False","False","1","product_assistant","{""family_code"":{""value"":""PROM-TPH-HD"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Vergelijk TPH HD met TPH ND."
"12","business","product","product","product_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""BB-U"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1800,""source"":""bb_u_compact_width_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke RVS-uitvoeringen zijn er van BB-U 1800?"
"13","business","product","product","product_selection","False","False","1","product_assistant","{""family_code"":{""value"":""BB-U"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1600,""source"":""bb_u_compact_width_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke uitvoering van BB-U 1600 moet ik kiezen?"
"14","business","product","product","inventory_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""BB-P"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1000,""source"":""family_context_width_inference""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Is BB-P 1000 beschikbaar?"
"15","business","product","product","price_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""BB-R"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1200,""source"":""family_context_width_inference""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zijn de kosten van BB-R 1200?"
"16","business","product","product","advantages_disadvantages","False","False","1","product_assistant","{""family_code"":{""value"":""PROLOAD"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Geef de voor- en nadelen van Proload."
"17","business","product","product","product_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""BB-U"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1200,""source"":""bb_u_compact_width_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke reserveonderdelen horen bij BB-U 1200?"
"18","business","product","product","product_lookup","False","False","1","product_assistant","{""family_code"":{""value"":""BB-H"",""source"":""family_pattern""},""belt_width_mm"":{""value"":1800,""source"":""family_context_width_inference""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke complete systemen bestaan er voor BB-H 1800?"
"19","business",,"","unknown","True","False","0","","{""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Welke schraper adviseer je bij 2,5 m/s en nat materiaal?"
"20","business","product","product","product_selection","False","False","1","product_assistant","{""family_code"":{""value"":""BB-U"",""source"":""family_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Vergelijk BB-U en BB-R voor kleverig materiaal en geef advies."
"21","business","inspection","inspection","inspection_latest","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""explicit_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat was de laatste inspectie van band A319?"
"22","business","inspection","inspection","inspection_latest","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""lijn_code"":{""value"":""A319"",""source"":""explicit_context_code_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is de actuele meshoogte op A319?"
"23","business","inspection","inspection","inspection_trend","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Toon de historie van A319."
"24","business","inspection","inspection","inspection_trend","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""lijn_code"":{""value"":""A319"",""source"":""explicit_context_code_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Hoe verloopt de slijtage op A319?"
"25","business","inspection","inspection","maintenance_priority","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat is de onderhoudsstatus van A319?"
"26","business","inspection","inspection","inspection_lookup","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""lijn_code"":{""value"":""A319"",""source"":""explicit_context_code_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat moet er vervangen worden op A319?"
"27","business","inspection","inspection","inspection_lookup","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Geef een inspectieoverzicht van A319."
"28","business","inspection","inspection","inspection_latest","False","False","1","analysis_assistant","{""band_code"":{""value"":""A319"",""source"":""standalone_band_pattern""},""lijn_code"":{""value"":""A319"",""source"":""explicit_context_code_pattern""},""scope_context_mode"":{""value"":""single"",""source"":""scope_context_roles""}}","Wat zagen we de vorige keer op A319?"
