"test_id","expected_entity","related_runtime_keys","question"
"5","family_codes","family_code","Wat is het verschil tussen BB-U en BB-R?"
"11","family_codes","family_code","Vergelijk TPH HD met TPH ND."
"20","family_codes","family_code","Vergelijk BB-U en BB-R voor kleverig materiaal en geef advies."
"80","comparison_scope","comparison_scope_codes","Vergelijk de verantwoordelijkheden in Breda en Maldegem."
"104","diagnostics_object","diagnostics_objects","Controleer de health van vw_meshoogte_latest_per_scraper_clean."
"105","diagnostics_object","diagnostics_objects","Welke dependencies heeft vw_mes_cycle_analysis_clean?"
"114","diagnostics_object","diagnostics_objects","Controleer de view definition van vw_band_scraper_api_v1."
"127","family_codes","family_code","Vergelijk BB-U en BB-R met de actuele problemen op A319."
"134","family_codes","family_code","Analyseer BB-U versus BB-R voor nat, abrasief materiaal en hoge carryback."
"185","comparison_scope","comparison_scope_codes","Vergelijk MV1 en MV2."
"192","band_codes","band_code;comparison_scope_codes","Wat is er mis met A319 of A320?"
"193","comparison_scope","comparison_scope_codes","Controleer Breda en Maldegem maar gebruik alleen ??n locatie."
