"test_id","source_row","test_category","question","expected_query_class","actual_query_class","query_class_status","expected_domains","actual_primary_domain","domain_pass","expected_intent","actual_intent","intent_pass","expected_entities","actual_entities","entity_pass","missing_entities","mismatched_entities","unexpected_entities","unexpected_validated_band_code","expected_research","actual_research","research_pass","expected_clarification","actual_clarification","clarification_pass","latency_ms","failure_class","overall_pass"
"5","6","product","Wat is het verschil tussen BB-U en BB-R?","BUSINESS","","NOT_AVAILABLE","[""product""]","product","True","product_selection","product_selection","True","family_codes=BB-U,BB-R","{""family_code"":""bb-u""}","False","family_codes","","family_code","False","False","False","True","False","False","True","836,7","ENTITY_MISMATCH","False"
"6","7","product","Welke schraper zou je kiezen voor een band van 1200 mm?","BUSINESS","","NOT_AVAILABLE","[""product""]","","False","product_selection","unknown","False","belt_width_mm=1200","{}","False","belt_width_mm","","","False","False","False","True","False","True","False","5","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"11","12","product","Vergelijk TPH HD met TPH ND.","BUSINESS","","NOT_AVAILABLE","[""product""]","product","True","product_selection","product_selection","True","family_codes=PROM-TPH-HD,PROM-TPH-ND","{""family_code"":""prom-tph-hd""}","False","family_codes","","family_code","False","False","False","True","False","False","True","247,6","ENTITY_MISMATCH","False"
"19","20","product","Welke schraper adviseer je bij 2,5 m/s en nat materiaal?","BUSINESS","","NOT_AVAILABLE","[""product"",""technical""]","","False","product_selection","unknown","False","-","{}","True","","","","False","True","False","False","False","True","False","4,4","DOMAIN_MISMATCH;INTENT_MISMATCH;RESEARCH_MISMATCH;CLARIFICATION_MISMATCH","False"
"20","21","product","Vergelijk BB-U en BB-R voor kleverig materiaal en geef advies.","BUSINESS","","NOT_AVAILABLE","[""product"",""technical""]","product","False","product_selection","product_selection","True","family_codes=BB-U,BB-R","{""family_code"":""bb-u""}","False","family_codes","","family_code","False","True","False","False","False","False","True","986,3","DOMAIN_MISMATCH;ENTITY_MISMATCH;RESEARCH_MISMATCH","False"
"22","24","inspection","Wat is de actuele meshoogte op A319?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","inspection_latest","inspection_latest","True","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","False","","","lijn_code","False","False","False","True","False","False","True","1282,1","ENTITY_MISMATCH","False"
"24","26","inspection","Hoe verloopt de slijtage op A319?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","inspection_trend","inspection_trend","True","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","False","","","lijn_code","False","False","False","True","False","False","True","399,9","ENTITY_MISMATCH","False"
"26","28","inspection","Wat moet er vervangen worden op A319?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","maintenance_priority","inspection_lookup","False","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","False","","","lijn_code","False","False","False","True","False","False","True","1556,7","INTENT_MISMATCH;ENTITY_MISMATCH","False"
"28","30","inspection","Wat zagen we de vorige keer op A319?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","inspection_latest","inspection_latest","True","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","False","","","lijn_code","False","False","False","True","False","False","True","1496,4","ENTITY_MISMATCH","False"
"29","31","inspection","Toon de slijtagetrend van de U 1200 west op A319.","BUSINESS","","NOT_AVAILABLE","[""inspection""]","inspection","True","inspection_trend","inspection_trend","True","band_code=A319|scraper_type=U1200|side=WEST","{""band_code"":""a319"",""lijn_code"":""a319""}","False","scraper_type; side","","lijn_code","False","False","False","True","False","False","True","431,2","ENTITY_MISMATCH","False"
"30","32","inspection","Geef de lifecycle van A319.","BUSINESS","","NOT_AVAILABLE","[""inspection""]","","False","inspection_trend","unknown","False","band_code=A319","{""band_code"":""a319""}","True","","","","False","False","False","True","False","True","False","4,6","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
"31","33","inspection","Welke schrapers zitten actueel op A319?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","","False","inspection_latest","unknown","False","band_code=A319","{""band_code"":""a319"",""lijn_code"":""a319""}","False","","","lijn_code","False","False","False","True","False","True","False","4,4","DOMAIN_MISMATCH;INTENT_MISMATCH;ENTITY_MISMATCH;CLARIFICATION_MISMATCH","False"
"33","35","inspection","Welke banden hebben geen schrapers?","BUSINESS","","NOT_AVAILABLE","[""inspection""]","","False","inspection_lookup","unknown","False","-","{}","True","","","","False","False","False","True","False","True","False","3,9","DOMAIN_MISMATCH;INTENT_MISMATCH;CLARIFICATION_MISMATCH","False"
