"category","entity","expected","question","raw_contract","test_id"
"product","family_codes","BB-U,BB-R","Wat is het verschil tussen BB-U en BB-R?","family_codes=BB-U,BB-R","5"
"product","belt_width_mm","1200","Welke schraper zou je kiezen voor een band van 1200 mm?","belt_width_mm=1200","6"
"product","family_codes","PROM-TPH-HD,PROM-TPH-ND","Vergelijk TPH HD met TPH ND.","family_codes=PROM-TPH-HD,PROM-TPH-ND","11"
"product","family_codes","BB-U,BB-R","Vergelijk BB-U en BB-R voor kleverig materiaal en geef advies.","family_codes=BB-U,BB-R","20"
"inspection","scraper_type","U1200","Toon de slijtagetrend van de U 1200 west op A319.","band_code=A319|scraper_type=U1200|side=WEST","29"
"inspection","side","WEST","Toon de slijtagetrend van de U 1200 west op A319.","band_code=A319|scraper_type=U1200|side=WEST","29"
"inspection","lijn_code","GSL","Toon de laatste inspecties van GSL.","lijn_code=GSL","35"
"inspection","side","WEST","Wat is de meshoogte west op A319?","band_code=A319|side=WEST","37"
"technical","belt_width_mm","1200","Bereken de capaciteit van een band van 1200 mm bij 2,5 m/s.","belt_width_mm=1200","48"
"org","locatie","Breda","Wie is verantwoordelijk voor wifi in Breda?","locatie=Breda","61"
"org","locatie","Maldegem","De printer in Maldegem werkt niet, wie kan helpen?","locatie=Maldegem","62"
"org","locatie","Breda","Wie is BHV-verantwoordelijke in Breda?","locatie=Breda","63"
"org","locatie","Breda","Wat is het telefoonnummer van Promati Breda?","locatie=Breda","66"
"org","locatie","Maldegem","Wat is het adres van Promati Maldegem?","locatie=Maldegem","67"
"org","locatie","Breda","Wat zijn de openingstijden van Promati Breda?","locatie=Breda","68"
"org","functie","technicus","Wat zijn de kerntaken van een technicus?","functie=technicus","70"
"org","functie","VCA-coordinator","Welke bevoegdheden heeft de VCA-co?rdinator?","functie=VCA-coordinator","71"
"org","afdeling","aankoop","Wie is de contactpersoon voor aankoop?","afdeling=aankoop","73"
"org","afdeling","service","Wie is manager van de serviceafdeling?","afdeling=service","74"
"org","comparison_scope_codes","Breda,Maldegem","Vergelijk de verantwoordelijkheden in Breda en Maldegem.","comparison_scope=Breda,Maldegem","80"
"rfq","rfq_id","RFQ-2026-001","Zoek RFQ RFQ-2026-001.","rfq_id=RFQ-2026-001","81"
"rfq","rfq_id","RFQ-2026-001","Wat is de status van RFQ RFQ-2026-001?","rfq_id=RFQ-2026-001","82"
"rfq","rfq_id","RFQ-2026-001","Is RFQ RFQ-2026-001 klaar om naar de leverancier te sturen?","rfq_id=RFQ-2026-001","83"
"rfq","rfq_id","RFQ-2026-001","Welke risico's zitten in RFQ RFQ-2026-001?","rfq_id=RFQ-2026-001","84"
"rfq","rfq_id","RFQ-2026-001","Geef de engineering review van RFQ RFQ-2026-001.","rfq_id=RFQ-2026-001","85"
"rfq","rfq_id","RFQ-2026-001","Toon de timeline van RFQ RFQ-2026-001.","rfq_id=RFQ-2026-001","86"
"rfq","rfq_id","RFQ-2026-001","Welke leveranciercontext is er bij RFQ RFQ-2026-001?","rfq_id=RFQ-2026-001","87"
"rfq","rfq_id","RFQ-2026-001","Toon positie 3 van RFQ RFQ-2026-001.","rfq_id=RFQ-2026-001|position_id=3","88"
"rfq","position_id","3","Toon positie 3 van RFQ RFQ-2026-001.","rfq_id=RFQ-2026-001|position_id=3","88"
"rfq","rfq_ids","RFQ-2026-001,RFQ-2026-002","Vergelijk RFQ RFQ-2026-001 met RFQ RFQ-2026-002.","rfq_ids=RFQ-2026-001,RFQ-2026-002","90"
"rfq","rfq_id","RFQ-2026-001","Welk lagertype staat bij positie 2 van RFQ RFQ-2026-001?","rfq_id=RFQ-2026-001|position_id=2","91"
"rfq","position_id","2","Welk lagertype staat bij positie 2 van RFQ RFQ-2026-001?","rfq_id=RFQ-2026-001|position_id=2","91"
"rfq","rfq_id","RFQ-2026-001","Welk rubbermateriaal is opgegeven in RFQ RFQ-2026-001?","rfq_id=RFQ-2026-001","92"
"rfq","rfq_id","RFQ-2026-001","Welke specificaties ontbreken nog in RFQ RFQ-2026-001?","rfq_id=RFQ-2026-001","93"
"rfq","rfq_id","RFQ-2026-001","Welke documenten zitten aan RFQ RFQ-2026-001?","rfq_id=RFQ-2026-001","94"
"rfq","position_id","1","Wat is uit de tekening van positie 1 gehaald?","position_id=1","95"
"rfq","rfq_id","RFQ-2026-001","Welke levertijd en prijs heeft de leverancier voor RFQ RFQ-2026-001 opgegeven?","rfq_id=RFQ-2026-001","96"
"rfq","rfq_id","RFQ-2026-001","Geef mij de PDF-link van RFQ RFQ-2026-001 in het Duits.","rfq_id=RFQ-2026-001|language=de","97"
"rfq","language","de","Geef mij de PDF-link van RFQ RFQ-2026-001 in het Duits.","rfq_id=RFQ-2026-001|language=de","97"
"rfq","rfq_id","RFQ-2026-001","Verander de status van RFQ RFQ-2026-001 naar verzonden.","rfq_id=RFQ-2026-001","99"
"rfq","rfq_id","RFQ-2026-001","Verwijder RFQ RFQ-2026-001.","rfq_id=RFQ-2026-001","100"
"diagnostics","diagnostics_domain","inspections","Controleer de gezondheid van het assetmodel.","diagnostics_domain=inspections","108"
"diagnostics","diagnostics_domain","system","Welke feature flags zijn momenteel geladen?","diagnostics_domain=system","112"
"diagnostics","diagnostics_domain","system","Ontbreekt een van de verplichte kernroutes?","diagnostics_domain=system","113"
"diagnostics","diagnostics_domain","inspections","Waarom komen sommige inspectieregels niet in de clean view terecht?","diagnostics_domain=inspections","115"
"diagnostics","diagnostics_domain","inspections","Zoek mogelijke dubbele inspecties in de pipeline.","diagnostics_domain=inspections","116"
"diagnostics","diagnostics_domain","inspections","Controleer of bandcodes verkeerd worden ge?nterpreteerd.","diagnostics_domain=inspections","117"
"diagnostics","diagnostics_domain","system","Waarom wordt AL5 als bandcode gezien?","diagnostics_domain=system","118"
"diagnostics","diagnostics_domain","system","Controleer waarom de research-agent OpenAI niet aanroept.","diagnostics_domain=system","119"
"diagnostics","diagnostics_domain","system","Analyseer de volledige route van vraag naar specialist en research.","diagnostics_domain=system","120"
"research","family_codes","BB-U,BB-R","Vergelijk BB-U en BB-R met de actuele problemen op A319.","band_code=A319|family_codes=BB-U,BB-R","127"
"research","family_codes","BB-U,BB-R","Analyseer BB-U versus BB-R voor nat, abrasief materiaal en hoge carryback.","family_codes=BB-U,BB-R","134"
"research","rfq_id","RFQ-2026-001","Onderzoek de engineeringrisico's van RFQ RFQ-2026-001 en vergelijk met eerdere RFQ's.","rfq_id=RFQ-2026-001","136"
"research","diagnostics_domain","system","Analyseer waarom de router productvragen soms als inspectievraag ziet.","diagnostics_domain=system","138"
