source_row,id,category,question,query_class,expected_domains,target_intent,expected_entities,research,clarification,note
2,1,product,Hebben we BB-U 1200 op voorraad?,BUSINESS,product,inventory_lookup,family_code=BB-U|belt_width_mm=1200,false,false,basis voorraad
3,2,product,Wat kost een BB-U 1200?,BUSINESS,product,price_lookup,family_code=BB-U|belt_width_mm=1200,false,false,basis prijs
4,3,product,Wat zijn de voordelen van BB-U?,BUSINESS,product,advantages_disadvantages,family_code=BB-U,false,false,productkennis
5,4,product,Wat zijn de nadelen van BB-H?,BUSINESS,product,advantages_disadvantages,family_code=BB-H,false,false,productkennis
6,5,product,Wat is het verschil tussen BB-U en BB-R?,BUSINESS,product,product_selection,"family_codes=BB-U,BB-R",false,false,productvergelijking
7,6,product,Welke schraper zou je kiezen voor een band van 1200 mm?,BUSINESS,product,product_selection,belt_width_mm=1200,false,false,selectie
8,7,product,Is Promati KF op voorraad?,BUSINESS,product,inventory_lookup,family_code=PROM-KF,false,false,familiedetectie
9,8,product,Wat kost een Promati KS?,BUSINESS,product,price_lookup,family_code=PROM-KS,false,false,familiedetectie
10,9,product,Wat weet je over Proload?,BUSINESS,product,product_lookup,family_code=PROLOAD,false,false,product lookup
11,10,product,Welke TPH HD hebben we voor 1400 mm?,BUSINESS,product,product_lookup,family_code=PROM-TPH-HD|belt_width_mm=1400,false,false,familie + maat
12,11,product,Vergelijk TPH HD met TPH ND.,BUSINESS,product,product_selection,"family_codes=PROM-TPH-HD,PROM-TPH-ND",false,false,vergelijking
13,12,product,Welke RVS-uitvoeringen zijn er van BB-U 1800?,BUSINESS,product,product_lookup,family_code=BB-U|belt_width_mm=1800,false,false,variantvraag
14,13,product,Welke uitvoering van BB-U 1600 moet ik kiezen?,BUSINESS,product,product_selection,family_code=BB-U|belt_width_mm=1600,false,false,selectie
15,14,product,Is BB-P 1000 beschikbaar?,BUSINESS,product,inventory_lookup,family_code=BB-P|belt_width_mm=1000,false,false,voorraad
16,15,product,Wat zijn de kosten van BB-R 1200?,BUSINESS,product,price_lookup,family_code=BB-R|belt_width_mm=1200,false,false,prijs
17,16,product,Geef de voor- en nadelen van Proload.,BUSINESS,product,advantages_disadvantages,family_code=PROLOAD,false,false,strengths + limitations
18,17,product,Welke reserveonderdelen horen bij BB-U 1200?,BUSINESS,product,product_lookup,family_code=BB-U|belt_width_mm=1200,false,false,onderdelen
19,18,product,Welke complete systemen bestaan er voor BB-H 1800?,BUSINESS,product,product_lookup,family_code=BB-H|belt_width_mm=1800,false,false,compleet systeem
20,19,product,"Welke schraper adviseer je bij 2,5 m/s en nat materiaal?",BUSINESS,product+technical,product_selection,-,true,false,multifactor selectie
21,20,product,Vergelijk BB-U en BB-R voor kleverig materiaal en geef advies.,BUSINESS,product+technical,product_selection,"family_codes=BB-U,BB-R",true,false,complex selectieadvies
23,21,inspection,Wat was de laatste inspectie van band A319?,BUSINESS,inspection,inspection_latest,band_code=A319,false,false,laatste inspectie
24,22,inspection,Wat is de actuele meshoogte op A319?,BUSINESS,inspection,inspection_latest,band_code=A319,false,false,actuele stand
25,23,inspection,Toon de historie van A319.,BUSINESS,inspection,inspection_trend,band_code=A319,false,false,historie
26,24,inspection,Hoe verloopt de slijtage op A319?,BUSINESS,inspection,inspection_trend,band_code=A319,false,false,trend
27,25,inspection,Wat is de onderhoudsstatus van A319?,BUSINESS,inspection,maintenance_priority,band_code=A319,false,false,onderhoud
28,26,inspection,Wat moet er vervangen worden op A319?,BUSINESS,inspection,maintenance_priority,band_code=A319,false,false,vervanging
29,27,inspection,Geef een inspectieoverzicht van A319.,BUSINESS,inspection,inspection_lookup,band_code=A319,false,false,lookup
30,28,inspection,Wat zagen we de vorige keer op A319?,BUSINESS,inspection,inspection_latest,band_code=A319,false,false,vorige keer
31,29,inspection,Toon de slijtagetrend van de U 1200 west op A319.,BUSINESS,inspection,inspection_trend,band_code=A319|scraper_type=U1200|side=WEST,false,false,positie
32,30,inspection,Geef de lifecycle van A319.,BUSINESS,inspection,inspection_trend,band_code=A319,false,false,lifecycle
33,31,inspection,Welke schrapers zitten actueel op A319?,BUSINESS,inspection,inspection_latest,band_code=A319,false,false,huidige configuratie
34,32,inspection,Hoe staat band A319 ervoor?,BUSINESS,inspection,inspection_lookup,band_code=A319,false,false,algemene status
35,33,inspection,Welke banden hebben geen schrapers?,BUSINESS,inspection,inspection_lookup,-,false,false,BAND_ZONDER_SCHRAPERS geldig
36,34,inspection,Wat heeft op lijn GSL de hoogste onderhoudsprioriteit?,BUSINESS,inspection,maintenance_priority,lijn_code=GSL,false,false,lijnfilter
37,35,inspection,Toon de laatste inspecties van GSL.,BUSINESS,inspection,inspection_latest,lijn_code=GSL,false,false,lijnfilter
38,36,inspection,Hoe ontwikkelt de slijtage zich op lijn GSL?,BUSINESS,inspection,inspection_trend,lijn_code=GSL,false,false,trend
39,37,inspection,Wat is de meshoogte west op A319?,BUSINESS,inspection,inspection_lookup,band_code=A319|side=WEST,false,false,specifieke positie
40,38,inspection,Wanneer moet de schraper van A319 vervangen worden?,BUSINESS,inspection,maintenance_priority,band_code=A319,false,false,vervangmoment
41,39,inspection,Wat is de forecast voor A319?,BUSINESS,inspection,inspection_trend,band_code=A319,false,false,forecast
42,40,inspection,"Maak een volledige analyse van A319 met trend, opmerkingen en vervangingen.",BUSINESS,inspection,inspection_trend,band_code=A319,true,false,diepe analyse
44,41,technical,Wat zegt CEMA over de capaciteit van een transportband?,BUSINESS,technical,technical_lookup,-,false,false,CEMA
45,42,technical,Hoe bereken ik de bandsnelheid?,BUSINESS,technical,technical_lookup,-,false,false,berekening
46,43,technical,Geef de formule voor het motorvermogen van een transportband.,BUSINESS,technical,technical_lookup,-,false,false,formule
47,44,Htechnical,Hoe bepaal je de minimale trommeldiameter?,BUSINESS,technical,technical_lookup,-,false,false,trommel
48,45,technical,Hoe bereken ik het koppel op een aandrijftrommel?,BUSINESS,technical,technical_lookup,-,false,false,koppel
